Wall time,Step,Value
1775319199.6150625,2113,4922.0
1775319205.3739877,4603,6218.5
1775319214.230689,8472,8517.75
1775319219.691885,10428,7654.60009765625
1775319234.5843098,13491,7667.5
1775319248.2335021,16213,8153.5
1775319269.8249013,20479,8615.22265625
1775319280.1867695,22481,8775.0
1775319297.4092512,25747,8627.0830078125
1775319307.1345656,27569,8345.4619140625
1775319316.2508397,29259,8094.14306640625
1775319324.568962,30792,7742.9375
1775319341.3957894,33850,7814.88232421875
1775319354.6642308,36246,7749.888671875
1775319369.3086863,38825,7809.7001953125
1775319385.750049,41726,7925.71435546875
1775319401.668177,44454,7984.86376953125
1775319406.1694694,45219,7582.41650390625
1775319414.1938505,46590,7404.64013671875
1775319425.0588505,48458,7229.115234375
1775319451.2387216,52952,7610.53564453125
1775319461.1296318,54683,7537.17236328125
1775319470.2586584,56251,7345.06689453125
1775319478.1176398,57616,7248.28125
1775319501.0926983,61586,7353.33349609375
1775319518.716753,64653,7446.7060546875
1775319541.2464952,68528,7659.77783203125
1775319553.342825,70637,7609.21630859375
1775319556.275102,71152,7490.447265625
1775319572.3441315,73946,7441.0751953125
1775319591.2962072,77231,7517.43896484375
1775319610.184956,80489,7518.9521484375
1775319623.440883,82793,7572.931640625
1775319643.7565765,86292,7695.466796875
1775319662.8880875,89617,7628.4130859375
1775319687.3860905,93828,7864.8125
1775319699.1983132,95869,7836.2041015625
1775319720.9480193,99618,7859.60009765625
1775319735.4110768,102137,7902.34619140625
1775319762.578622,106803,7944.45263671875
1775319778.0935843,109469,7985.18505859375
1775319797.1710591,112761,8100.39306640625
1775319809.8859844,114976,8073.15771484375
1775319830.299655,118494,8115.62060546875
1775319859.4342587,123498,8279.283203125
1775319877.5829325,126584,8298.0986328125
1775319890.653375,128823,8310.048828125
1775319908.6968672,131945,8292.5625
1775319928.62186,135384,8343.123046875
1775319954.3039784,139809,8393.13671875
1775319966.6656132,141945,8395.3974609375
1775319975.8180785,143534,8327.75390625
1775319980.0133936,144260,8251.5
1775320009.6237447,149317,8341.013671875
1775320028.911486,152627,8344.4111328125
1775320046.6820593,155709,8383.9052734375
1775320065.7694898,158976,8412.8681640625
1775320080.4746687,161515,8380.9873046875
1775320090.4835498,163257,8371.935546875
1775320105.7600284,165894,8340.224609375
1775320124.8023489,169179,8345.5185546875
1775320146.3071325,172879,8401.09765625
1775320158.428882,174954,8376.607421875
1775320177.8217225,178338,8398.552734375
1775320191.9131162,180788,8369.1748046875
1775320197.781599,181807,8309.4775390625
1775320223.687853,186255,8367.640625
1775320241.367317,189316,8413.7890625
1775320265.9015408,193536,8460.173828125
1775320281.9150355,196317,8450.9248046875
1775320294.9131885,198560,8443.54296875
1775320307.5292857,200726,8409.5732421875
1775320320.5210485,202976,8376.88671875
1775320335.3544219,205548,8402.94921875
1775320352.9341502,208534,8387.4501953125
1775320367.7333312,211084,8429.3095703125
1775320394.8700693,215712,8462.2099609375
1775320402.6239617,217052,8389.4599609375
1775320413.8260334,219030,8394.01953125
1775320433.7822044,222469,8405.75
1775320448.74545,225048,8399.5595703125
1775320461.8617194,227322,8311.9599609375
1775320471.2287178,228980,8280.1298828125
1775320479.2739785,230371,8231.669921875
1775320487.976575,231890,8217.400390625
1775320505.4337738,234914,8224.330078125
1775320519.5311334,237363,8309.759765625
1775320535.1993866,240078,8290.0703125
1775320551.1577892,242838,8311.01953125
1775320569.4268813,245959,8332.5302734375
1775320586.1451225,248859,8321.7001953125
1775320598.7528322,251080,8294.580078125
1775320605.9596405,252329,8331.26953125
1775320622.3971434,255153,8360.3896484375
1775320638.3472748,257888,8457.0498046875
1775320658.284674,261337,8381.9697265625
1775320666.4585283,262770,8367.4296875
1775320674.817856,264216,8367.9697265625
1775320685.7512736,266133,8386.8798828125
1775320701.418425,268852,8344.080078125
1775320716.6456733,271476,8341.150390625
1775320731.8650033,274076,8268.2998046875
1775320743.3868167,276047,8269.66015625
1775320758.2721415,278634,8296.8203125
1775320783.0768595,282833,8401.490234375
1775320799.9887934,285766,8365.0400390625
1775320807.5377111,287068,8351.58984375
1775320818.5173798,288987,8293.599609375
1775320834.5914273,291756,8223.509765625
1775320840.434912,292769,8237.1201171875
1775320858.3008547,295842,8126.7099609375
1775320874.161276,298612,8121.080078125
