Wall time,Step,Value
1775284223.2434468,3309,1720.0
1775284228.3571088,5530,2750.0
1775284235.8309898,8275,3425.0
1775284249.564669,10509,2976.0
1775284264.7797468,12977,2990.0
1775284276.395338,14843,2795.0
1775284295.9740183,17957,2757.77783203125
1775284311.556819,20401,2682.0
1775284325.6757007,22583,2485.0
1775284339.1363328,24652,2401.53857421875
1775284346.7537024,25823,2400.0
1775284363.4787529,28384,2292.5
1775284380.7595403,31024,2404.705810546875
1775284400.0978415,33921,2324.4443359375
1775284409.9631803,35401,2425.0
1775284420.1347082,36904,2317.142822265625
1775284432.2746873,38680,2211.818115234375
1775284448.5356197,41048,2215.833251953125
1775284472.6464658,44561,2192.0
1775284489.5290155,46986,2110.769287109375
1775284516.063643,50762,2087.857177734375
1775284536.6870503,53644,2057.241455078125
1775284543.6179566,54610,2010.0
1775284559.0639052,56756,1911.25
1775284582.3092124,59930,1894.54541015625
1775284594.7987976,61639,1848.2353515625
1775284611.1322799,63853,1790.5555419921875
1775284634.6489005,67025,1773.5135498046875
1775284658.8682537,70318,1756.3157958984375
1775284678.4232788,72979,1729.5
1775284695.8693929,75347,1701.951171875
1775284718.4102736,78425,1718.5714111328125
1775284729.121085,79880,1645.9090576171875
1775284742.9571955,81766,1609.3333740234375
1775284758.4279706,83873,1600.434814453125
1775284769.9737644,85444,1565.4166259765625
1775284795.5860727,88929,1533.4693603515625
1775284818.8596876,92077,1562.800048828125
1775284832.5150023,93943,1538.4615478515625
1775284855.8812313,97125,1516.9810791015625
1775284883.01802,100797,1498.148193359375
1775284909.348604,104390,1465.0
1775284941.3049684,108720,1439.2982177734375
1775284955.5425858,110655,1466.8966064453125
1775284974.3583,113215,1475.6666259765625
1775284990.1222627,115362,1474.098388671875
1775285014.7341437,118752,1476.774169921875
1775285031.2765944,120996,1466.875
1775285045.5414786,122928,1446.769287109375
1775285070.4730434,126304,1445.1514892578125
1775285093.5221014,129446,1444.4117431640625
1775285107.0895429,131292,1431.3043212890625
1775285129.805364,134387,1410.857177734375
1775285149.3320537,137066,1425.5555419921875
1775285168.6229136,139680,1432.3287353515625
1775285181.5769546,141443,1423.2432861328125
1775285196.4969585,143473,1412.631591796875
1775285220.3575675,146698,1397.662353515625
1775285241.1408036,149540,1379.7435302734375
1775285254.2047296,151323,1360.25
1775285274.7396436,154129,1345.43212890625
1775285284.3848643,155455,1333.9024658203125
1775285304.6933484,158212,1328.5714111328125
1775285327.7052724,161338,1328.0
1775285354.0651855,164925,1317.2093505859375
1775285374.7221565,167718,1326.3636474609375
1775285402.8183804,171526,1328.08984375
1775285413.6189792,172998,1317.5555419921875
1775285420.6840897,173955,1317.391357421875
1775285438.745839,176416,1327.0968017578125
1775285457.492452,178997,1326.8084716796875
1775285477.6368117,181736,1307.5
1775285502.6947684,185133,1300.6185302734375
1775285527.9974518,188589,1295.51025390625
1775285548.2158172,191362,1319.800048828125
1775285571.4786751,194526,1317.0
1775285599.3191402,198304,1290.5999755859375
1775285618.098353,200844,1257.4000244140625
1775285631.8375988,202733,1251.199951171875
1775285642.7421875,204230,1237.199951171875
1775285658.454404,206364,1204.5999755859375
1775285681.1521943,209453,1188.199951171875
1775285700.5951252,212092,1174.199951171875
1775285724.3019147,215296,1167.0
1775285747.0500638,218381,1161.199951171875
1775285770.9606957,221633,1150.0
1775285788.3394868,223995,1123.199951171875
1775285818.0416594,228043,1081.199951171875
1775285827.3450089,229319,1094.0
1775285842.5065196,231375,1041.4000244140625
1775285870.2146435,235118,1062.0
1775285883.6797924,236950,1081.800048828125
1775285908.392701,240302,1072.199951171875
1775285923.6267865,242378,1058.4000244140625
1775285944.9290328,245265,1072.199951171875
1775285965.840355,248102,1054.0
1775285985.561176,250799,1059.0
1775286002.8880548,253169,1056.800048828125
1775286011.9215133,254400,1086.5999755859375
1775286033.7559626,257375,1088.4000244140625
1775286039.5903444,258164,1086.800048828125
1775286052.5247064,259932,1087.0
1775286068.8461082,262154,1091.199951171875
1775286076.5737872,263208,1080.0
1775286084.9651935,264349,1077.5999755859375
1775286097.1520345,266011,1077.0
1775286116.3984292,268646,1066.5999755859375
1775286138.8380158,271703,1069.0
1775286160.435529,274646,1082.199951171875
1775286178.4528308,277097,1073.4000244140625
1775286207.3942564,281000,1069.800048828125
1775286239.635903,285380,1069.800048828125
1775286263.1934953,288563,1053.4000244140625
1775286288.0295472,291932,1061.199951171875
1775286306.3390486,294422,1066.5999755859375
1775286335.298147,298360,1061.5999755859375
